teams,disposals,round,Player,odds,home,away
st-kilda v melbourne,To Get 15 or More Disposals,R17,sebastian ross,1.23,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,callum wilkie,1.41,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,marcus windhager,1.44,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,jade gresham,1.47,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,liam stocker,1.49,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,jimmy webster,1.55,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,dougal howard,1.93,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,mitchito owens,1.98,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,mattaes phillipou,2.35,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,dan butler,3.75,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,jack viney,SUS,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,ed langdon,1.10,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,james jordon,1.10,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,steven may,1.13,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,trent rivers,1.13,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,tom sparrow,1.18,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,jake bowey,1.22,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,taj woewodin,1.35,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,max gawn,1.44,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,jake lever,1.54,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,alex neal-bullen,1.66,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,brodie grundy,1.67,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,judd mcvee,1.68,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,charlie spargo,2.35,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,kysaiah pickett,2.60,STK,MEL
st-kilda v melbourne,To Get 15 or More Disposals,R17,jake melksham,4.50,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,brad crouch,1.07,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,jack steele,1.40,STK,MEL
st-kilda v melbourne,To Get 20 or More Disposals,R17,nasiah wanganeen-milera,1.47,STK,MEL
